Files already downloaded and verified
Files already downloaded and verified
epochs: [1/60] train_acc: 0.270 train_loss: 1.979
epochs: [2/60] train_acc: 0.399 train_loss: 1.640
epochs: [3/60] train_acc: 0.462 train_loss: 1.494
epochs: [4/60] train_acc: 0.503 train_loss: 1.390
epochs: [5/60] train_acc: 0.536 train_loss: 1.308
epochs: [6/60] train_acc: 0.563 train_loss: 1.242
epochs: [7/60] train_acc: 0.586 train_loss: 1.183
epochs: [8/60] train_acc: 0.603 train_loss: 1.132
epochs: [9/60] train_acc: 0.618 train_loss: 1.088
epochs: [10/60] train_acc: 0.634 train_loss: 1.050
epochs: [11/60] train_acc: 0.650 train_loss: 1.008
epochs: [12/60] train_acc: 0.662 train_loss: 0.974
epochs: [13/60] train_acc: 0.672 train_loss: 0.947
epochs: [14/60] train_acc: 0.682 train_loss: 0.918
epochs: [15/60] train_acc: 0.692 train_loss: 0.893
epochs: [16/60] train_acc: 0.701 train_loss: 0.872
epochs: [17/60] train_acc: 0.709 train_loss: 0.845
epochs: [18/60] train_acc: 0.713 train_loss: 0.829
epochs: [19/60] train_acc: 0.722 train_loss: 0.809
epochs: [20/60] train_acc: 0.728 train_loss: 0.791
epochs: [21/60] train_acc: 0.733 train_loss: 0.776
epochs: [22/60] train_acc: 0.738 train_loss: 0.760
epochs: [23/60] train_acc: 0.742 train_loss: 0.747
epochs: [24/60] train_acc: 0.748 train_loss: 0.732
epochs: [25/60] train_acc: 0.751 train_loss: 0.721
epochs: [26/60] train_acc: 0.758 train_loss: 0.703
epochs: [27/60] train_acc: 0.763 train_loss: 0.692
epochs: [28/60] train_acc: 0.766 train_loss: 0.681
epochs: [29/60] train_acc: 0.768 train_loss: 0.672
epochs: [30/60] train_acc: 0.770 train_loss: 0.663
epochs: [31/60] train_acc: 0.774 train_loss: 0.656
epochs: [32/60] train_acc: 0.780 train_loss: 0.640
epochs: [33/60] train_acc: 0.781 train_loss: 0.634
epochs: [34/60] train_acc: 0.787 train_loss: 0.622
epochs: [35/60] train_acc: 0.788 train_loss: 0.614
epochs: [36/60] train_acc: 0.791 train_loss: 0.609
epochs: [37/60] train_acc: 0.795 train_loss: 0.598
epochs: [38/60] train_acc: 0.797 train_loss: 0.589
epochs: [39/60] train_acc: 0.800 train_loss: 0.586
epochs: [40/60] train_acc: 0.802 train_loss: 0.576
epochs: [41/60] train_acc: 0.802 train_loss: 0.573
epochs: [42/60] train_acc: 0.806 train_loss: 0.566
epochs: [43/60] train_acc: 0.809 train_loss: 0.555
epochs: [44/60] train_acc: 0.810 train_loss: 0.551
epochs: [45/60] train_acc: 0.810 train_loss: 0.544
epochs: [46/60] train_acc: 0.815 train_loss: 0.537
epochs: [47/60] train_acc: 0.817 train_loss: 0.535
epochs: [48/60] train_acc: 0.817 train_loss: 0.527
epochs: [49/60] train_acc: 0.819 train_loss: 0.527
epochs: [50/60] train_acc: 0.822 train_loss: 0.516
epochs: [51/60] train_acc: 0.825 train_loss: 0.506
epochs: [52/60] train_acc: 0.825 train_loss: 0.507
epochs: [53/60] train_acc: 0.828 train_loss: 0.497
epochs: [54/60] train_acc: 0.827 train_loss: 0.497
epochs: [55/60] train_acc: 0.830 train_loss: 0.489
epochs: [56/60] train_acc: 0.833 train_loss: 0.486
epochs: [57/60] train_acc: 0.832 train_loss: 0.485
epochs: [58/60] train_acc: 0.834 train_loss: 0.477
epochs: [59/60] train_acc: 0.836 train_loss: 0.471
epochs: [60/60] train_acc: 0.836 train_loss: 0.472
acc: 0.79
