Using downloaded and verified file: /DATA/sharma59/Know_distil/datafreekd/scripts/svhndata/train_32x32.mat
Using downloaded and verified file: /DATA/sharma59/Know_distil/datafreekd/scripts/svhndata/test_32x32.mat
loading shufflenet
epochs: [1/50] train_acc: 0.206 train_loss: 2.207
epochs: [2/50] train_acc: 0.345 train_loss: 1.881
epochs: [3/50] train_acc: 0.526 train_loss: 1.398
epochs: [4/50] train_acc: 0.629 train_loss: 1.077
epochs: [5/50] train_acc: 0.683 train_loss: 0.927
epochs: [6/50] train_acc: 0.718 train_loss: 0.832
epochs: [7/50] train_acc: 0.752 train_loss: 0.758
epochs: [8/50] train_acc: 0.773 train_loss: 0.699
epochs: [9/50] train_acc: 0.788 train_loss: 0.660
epochs: [10/50] train_acc: 0.798 train_loss: 0.629
epochs: [11/50] train_acc: 0.810 train_loss: 0.596
epochs: [12/50] train_acc: 0.818 train_loss: 0.571
epochs: [13/50] train_acc: 0.824 train_loss: 0.552
epochs: [14/50] train_acc: 0.830 train_loss: 0.532
epochs: [15/50] train_acc: 0.837 train_loss: 0.518
epochs: [16/50] train_acc: 0.839 train_loss: 0.507
epochs: [17/50] train_acc: 0.842 train_loss: 0.497
epochs: [18/50] train_acc: 0.847 train_loss: 0.483
epochs: [19/50] train_acc: 0.850 train_loss: 0.473
epochs: [20/50] train_acc: 0.853 train_loss: 0.462
epochs: [21/50] train_acc: 0.854 train_loss: 0.459
epochs: [22/50] train_acc: 0.858 train_loss: 0.446
epochs: [23/50] train_acc: 0.860 train_loss: 0.440
epochs: [24/50] train_acc: 0.863 train_loss: 0.433
epochs: [25/50] train_acc: 0.866 train_loss: 0.421
epochs: [26/50] train_acc: 0.870 train_loss: 0.414
epochs: [27/50] train_acc: 0.869 train_loss: 0.412
epochs: [28/50] train_acc: 0.873 train_loss: 0.402
epochs: [29/50] train_acc: 0.874 train_loss: 0.396
epochs: [30/50] train_acc: 0.874 train_loss: 0.396
epochs: [31/50] train_acc: 0.877 train_loss: 0.389
epochs: [32/50] train_acc: 0.877 train_loss: 0.387
epochs: [33/50] train_acc: 0.880 train_loss: 0.378
epochs: [34/50] train_acc: 0.881 train_loss: 0.376
epochs: [35/50] train_acc: 0.883 train_loss: 0.370
epochs: [36/50] train_acc: 0.884 train_loss: 0.367
epochs: [37/50] train_acc: 0.885 train_loss: 0.362
epochs: [38/50] train_acc: 0.887 train_loss: 0.358
epochs: [39/50] train_acc: 0.888 train_loss: 0.355
epochs: [40/50] train_acc: 0.889 train_loss: 0.352
epochs: [41/50] train_acc: 0.889 train_loss: 0.349
epochs: [42/50] train_acc: 0.891 train_loss: 0.344
epochs: [43/50] train_acc: 0.894 train_loss: 0.339
epochs: [44/50] train_acc: 0.893 train_loss: 0.337
epochs: [45/50] train_acc: 0.894 train_loss: 0.335
epochs: [46/50] train_acc: 0.896 train_loss: 0.331
epochs: [47/50] train_acc: 0.897 train_loss: 0.325
epochs: [48/50] train_acc: 0.894 train_loss: 0.331
epochs: [49/50] train_acc: 0.897 train_loss: 0.323
epochs: [50/50] train_acc: 0.900 train_loss: 0.319
acc: 0.88
