[test] loss: 1.7712, acc: 33.34, err: 66.66
[test] loss: 1.5499, acc: 41.94, err: 58.06
[test] loss: 1.4138, acc: 48.12, err: 51.88
[test] loss: 1.1830, acc: 57.21, err: 42.79
[test] loss: 0.9864, acc: 64.96, err: 35.04
[test] loss: 0.8623, acc: 69.15, err: 30.85
[test] loss: 0.7788, acc: 72.53, err: 27.47
[test] loss: 0.6910, acc: 76.89, err: 23.11
[test] loss: 0.6183, acc: 79.49, err: 20.51
[test] loss: 0.5726, acc: 80.82, err: 19.18
[test] loss: 0.5527, acc: 81.17, err: 18.83
[test] loss: 0.4966, acc: 83.35, err: 16.65
[test] loss: 0.4896, acc: 83.98, err: 16.02
[test] loss: 0.4753, acc: 84.64, err: 15.36
[test] loss: 0.4629, acc: 85.32, err: 14.68
[test] loss: 0.4295, acc: 86.19, err: 13.81
[test] loss: 0.4187, acc: 87.09, err: 12.91
[test] loss: 0.3910, acc: 87.34, err: 12.66
[test] loss: 0.3758, acc: 88.15, err: 11.85
[test] loss: 0.3885, acc: 88.35, err: 11.65
[test] loss: 0.3588, acc: 88.24, err: 11.76
[test] loss: 0.3476, acc: 88.46, err: 11.54
[test] loss: 0.3511, acc: 89.10, err: 10.90
[test] loss: 0.3330, acc: 89.78, err: 10.22
[test] loss: 0.3288, acc: 89.28, err: 10.72
[test] loss: 0.3059, acc: 90.22, err: 9.78
[test] loss: 0.3316, acc: 89.88, err: 10.12
[test] loss: 0.3100, acc: 90.44, err: 9.56
[test] loss: 0.2938, acc: 90.76, err: 9.24
[test] loss: 0.2870, acc: 90.84, err: 9.16
[test] loss: 0.2946, acc: 90.96, err: 9.04
[test] loss: 0.3009, acc: 90.67, err: 9.33
[test] loss: 0.2757, acc: 91.43, err: 8.57
[test] loss: 0.2825, acc: 91.27, err: 8.73
[test] loss: 0.2812, acc: 91.40, err: 8.60
[test] loss: 0.2812, acc: 91.30, err: 8.70
[test] loss: 0.2728, acc: 91.28, err: 8.72
[test] loss: 0.2709, acc: 91.54, err: 8.46
[test] loss: 0.2612, acc: 91.72, err: 8.28
[test] loss: 0.2586, acc: 91.84, err: 8.16
[test] loss: 0.2774, acc: 91.35, err: 8.65
[test] loss: 0.2493, acc: 92.50, err: 7.50
[test] loss: 0.2529, acc: 92.23, err: 7.77
[test] loss: 0.2558, acc: 91.98, err: 8.02
[test] loss: 0.2545, acc: 92.20, err: 7.80
[test] loss: 0.2626, acc: 92.18, err: 7.82
[test] loss: 0.2506, acc: 92.18, err: 7.82
[test] loss: 0.2449, acc: 92.79, err: 7.21
[test] loss: 0.2579, acc: 92.24, err: 7.76
[test] loss: 0.2538, acc: 92.16, err: 7.84
[test] loss: 0.2358, acc: 92.56, err: 7.44
[test] loss: 0.2463, acc: 92.95, err: 7.05
[test] loss: 0.2409, acc: 92.21, err: 7.79
[test] loss: 0.2364, acc: 92.82, err: 7.18
[test] loss: 0.2385, acc: 92.82, err: 7.18
[test] loss: 0.2334, acc: 92.89, err: 7.11
[test] loss: 0.2188, acc: 93.38, err: 6.62
[test] loss: 0.2320, acc: 92.99, err: 7.01
[test] loss: 0.2377, acc: 92.59, err: 7.41
[test] loss: 0.2259, acc: 93.21, err: 6.79
[test] loss: 0.2357, acc: 92.83, err: 7.17
[test] loss: 0.2332, acc: 92.69, err: 7.31
[test] loss: 0.2318, acc: 92.86, err: 7.14
[test] loss: 0.2284, acc: 93.17, err: 6.83
[test] loss: 0.2342, acc: 92.84, err: 7.16
[test] loss: 0.2220, acc: 93.44, err: 6.56
[test] loss: 0.2233, acc: 93.15, err: 6.85
[test] loss: 0.2264, acc: 93.15, err: 6.85
[test] loss: 0.2361, acc: 93.19, err: 6.81
[test] loss: 0.2118, acc: 93.50, err: 6.50
[test] loss: 0.2165, acc: 93.27, err: 6.73
[test] loss: 0.2253, acc: 93.58, err: 6.42
[test] loss: 0.2175, acc: 93.31, err: 6.69
[test] loss: 0.2251, acc: 93.43, err: 6.57
[test] loss: 0.2215, acc: 93.53, err: 6.47
[test] loss: 0.2216, acc: 93.22, err: 6.78
[test] loss: 0.2117, acc: 93.37, err: 6.63
[test] loss: 0.2129, acc: 93.76, err: 6.24
[test] loss: 0.2292, acc: 92.93, err: 7.07
[test] loss: 0.2053, acc: 93.73, err: 6.27
[test] loss: 0.2181, acc: 93.61, err: 6.39
[test] loss: 0.2177, acc: 93.46, err: 6.54
[test] loss: 0.2181, acc: 93.77, err: 6.23
[test] loss: 0.2076, acc: 93.64, err: 6.36
[test] loss: 0.2052, acc: 93.95, err: 6.05
[test] loss: 0.2074, acc: 93.80, err: 6.20
[test] loss: 0.2160, acc: 93.56, err: 6.44
[test] loss: 0.2119, acc: 93.39, err: 6.61
[test] loss: 0.2077, acc: 93.36, err: 6.64
[test] loss: 0.2066, acc: 93.82, err: 6.18
[test] loss: 0.2121, acc: 93.75, err: 6.25
[test] loss: 0.2055, acc: 93.62, err: 6.38
[test] loss: 0.2152, acc: 93.56, err: 6.44
[test] loss: 0.2076, acc: 93.71, err: 6.29
[test] loss: 0.2162, acc: 93.69, err: 6.31
[test] loss: 0.2044, acc: 93.75, err: 6.25
[test] loss: 0.2080, acc: 93.61, err: 6.39
[test] loss: 0.2186, acc: 93.64, err: 6.36
[test] loss: 0.2079, acc: 93.39, err: 6.61
[test] loss: 0.2076, acc: 93.88, err: 6.12
[test] loss: 0.1600, acc: 94.82, err: 5.18
[test] loss: 0.1520, acc: 95.32, err: 4.68
[test] loss: 0.1513, acc: 95.23, err: 4.77
[test] loss: 0.1478, acc: 95.34, err: 4.66
[test] loss: 0.1467, acc: 95.35, err: 4.65
[test] loss: 0.1477, acc: 95.47, err: 4.53
[test] loss: 0.1426, acc: 95.45, err: 4.55
[test] loss: 0.1445, acc: 95.40, err: 4.60
[test] loss: 0.1412, acc: 95.50, err: 4.50
[test] loss: 0.1387, acc: 95.56, err: 4.44
[test] loss: 0.1402, acc: 95.69, err: 4.31
[test] loss: 0.1398, acc: 95.77, err: 4.23
[test] loss: 0.1385, acc: 95.58, err: 4.42
[test] loss: 0.1363, acc: 95.76, err: 4.24
[test] loss: 0.1347, acc: 95.75, err: 4.25
[test] loss: 0.1363, acc: 95.84, err: 4.16
[test] loss: 0.1343, acc: 95.79, err: 4.21
[test] loss: 0.1334, acc: 95.72, err: 4.28
[test] loss: 0.1330, acc: 95.86, err: 4.14
[test] loss: 0.1341, acc: 95.81, err: 4.19
