[test] loss: 3.1300, acc: 10.25, err: 89.75
[test] loss: 2.8935, acc: 16.00, err: 84.00
[test] loss: 1.7021, acc: 43.48, err: 56.52
[test] loss: 1.0842, acc: 63.78, err: 36.22
[test] loss: 0.2403, acc: 93.24, err: 6.76
[test] loss: 0.1303, acc: 96.65, err: 3.35
[test] loss: 0.1213, acc: 96.93, err: 3.07
[test] loss: 0.0752, acc: 98.05, err: 1.95
[test] loss: 0.1112, acc: 97.04, err: 2.96
[test] loss: 0.1106, acc: 97.01, err: 2.99
[test] loss: 0.0945, acc: 97.59, err: 2.41
[test] loss: 0.0816, acc: 98.12, err: 1.88
[test] loss: 0.0629, acc: 98.50, err: 1.50
[test] loss: 0.0853, acc: 98.04, err: 1.96
[test] loss: 0.0746, acc: 98.10, err: 1.90
[test] loss: 0.0620, acc: 98.25, err: 1.75
[test] loss: 0.0697, acc: 98.08, err: 1.92
[test] loss: 0.0900, acc: 97.52, err: 2.48
[test] loss: 0.0727, acc: 98.12, err: 1.88
[test] loss: 0.0732, acc: 97.78, err: 2.22
[test] loss: 0.0589, acc: 98.19, err: 1.81
[test] loss: 0.0900, acc: 97.55, err: 2.45
[test] loss: 0.0648, acc: 98.41, err: 1.59
[test] loss: 0.0518, acc: 98.79, err: 1.21
[test] loss: 0.0771, acc: 97.98, err: 2.02
[test] loss: 0.0709, acc: 98.31, err: 1.69
[test] loss: 0.0569, acc: 98.43, err: 1.57
[test] loss: 0.0504, acc: 98.60, err: 1.40
[test] loss: 0.0894, acc: 97.70, err: 2.30
[test] loss: 0.0704, acc: 98.23, err: 1.77
[test] loss: 0.1483, acc: 96.33, err: 3.67
[test] loss: 0.0590, acc: 98.34, err: 1.66
[test] loss: 0.0431, acc: 99.05, err: 0.95
[test] loss: 0.0619, acc: 98.40, err: 1.60
[test] loss: 0.0465, acc: 98.88, err: 1.12
[test] loss: 0.0797, acc: 98.12, err: 1.88
[test] loss: 0.0766, acc: 97.53, err: 2.47
[test] loss: 0.0609, acc: 98.39, err: 1.61
[test] loss: 0.0528, acc: 98.47, err: 1.53
[test] loss: 0.0547, acc: 98.56, err: 1.44
[test] loss: 0.0580, acc: 98.42, err: 1.58
[test] loss: 0.0504, acc: 98.78, err: 1.22
[test] loss: 0.0591, acc: 98.20, err: 1.80
[test] loss: 0.0538, acc: 98.41, err: 1.59
[test] loss: 0.0623, acc: 98.16, err: 1.84
[test] loss: 0.0703, acc: 98.24, err: 1.76
[test] loss: 0.0938, acc: 97.87, err: 2.13
[test] loss: 0.0696, acc: 98.08, err: 1.92
[test] loss: 0.0436, acc: 98.80, err: 1.20
[test] loss: 0.0592, acc: 98.35, err: 1.65
[test] loss: 0.0468, acc: 98.76, err: 1.24
[test] loss: 0.0790, acc: 98.20, err: 1.80
[test] loss: 0.0784, acc: 98.00, err: 2.00
[test] loss: 0.0437, acc: 98.68, err: 1.32
[test] loss: 0.0685, acc: 98.24, err: 1.76
[test] loss: 0.0417, acc: 98.93, err: 1.07
[test] loss: 0.0504, acc: 98.51, err: 1.49
[test] loss: 0.0545, acc: 98.44, err: 1.56
[test] loss: 0.0403, acc: 98.88, err: 1.12
[test] loss: 0.1076, acc: 97.55, err: 2.45
[test] loss: 0.0533, acc: 98.70, err: 1.30
[test] loss: 0.0746, acc: 98.31, err: 1.69
[test] loss: 0.0492, acc: 98.38, err: 1.62
[test] loss: 0.0371, acc: 99.06, err: 0.94
[test] loss: 0.0459, acc: 98.52, err: 1.48
[test] loss: 0.0333, acc: 99.10, err: 0.90
[test] loss: 0.0611, acc: 98.54, err: 1.46
[test] loss: 0.0698, acc: 98.04, err: 1.96
[test] loss: 0.0682, acc: 98.19, err: 1.81
[test] loss: 0.0522, acc: 98.80, err: 1.20
[test] loss: 0.0432, acc: 98.70, err: 1.30
[test] loss: 0.0443, acc: 99.00, err: 1.00
[test] loss: 0.0375, acc: 99.02, err: 0.98
[test] loss: 0.0586, acc: 98.33, err: 1.67
[test] loss: 0.0517, acc: 98.72, err: 1.28
[test] loss: 0.0323, acc: 98.87, err: 1.13
[test] loss: 0.0764, acc: 98.21, err: 1.79
[test] loss: 0.0505, acc: 98.64, err: 1.36
[test] loss: 0.0356, acc: 99.14, err: 0.86
[test] loss: 0.0580, acc: 98.52, err: 1.48
[test] loss: 0.0356, acc: 99.05, err: 0.95
[test] loss: 0.0439, acc: 98.70, err: 1.30
[test] loss: 0.0496, acc: 98.80, err: 1.20
[test] loss: 0.0785, acc: 98.02, err: 1.98
[test] loss: 0.0467, acc: 98.65, err: 1.35
[test] loss: 0.0387, acc: 98.78, err: 1.22
[test] loss: 0.0390, acc: 98.88, err: 1.12
[test] loss: 0.0780, acc: 98.14, err: 1.86
[test] loss: 0.0469, acc: 98.75, err: 1.25
[test] loss: 0.0496, acc: 98.45, err: 1.55
[test] loss: 0.0358, acc: 98.93, err: 1.07
[test] loss: 0.0433, acc: 98.76, err: 1.24
[test] loss: 0.0644, acc: 98.57, err: 1.43
[test] loss: 0.0423, acc: 98.89, err: 1.11
[test] loss: 0.0337, acc: 99.09, err: 0.91
[test] loss: 0.0395, acc: 98.92, err: 1.08
[test] loss: 0.0410, acc: 98.93, err: 1.07
[test] loss: 0.0613, acc: 98.10, err: 1.90
[test] loss: 0.0427, acc: 98.84, err: 1.16
[test] loss: 0.0579, acc: 98.39, err: 1.61
[test] loss: 0.0429, acc: 98.70, err: 1.30
[test] loss: 0.0340, acc: 98.92, err: 1.08
[test] loss: 0.0367, acc: 98.92, err: 1.08
[test] loss: 0.0334, acc: 98.98, err: 1.02
[test] loss: 0.0359, acc: 98.97, err: 1.03
[test] loss: 0.0308, acc: 99.10, err: 0.90
[test] loss: 0.0317, acc: 98.99, err: 1.01
[test] loss: 0.0342, acc: 98.98, err: 1.02
[test] loss: 0.0298, acc: 99.02, err: 0.98
[test] loss: 0.0268, acc: 99.13, err: 0.87
[test] loss: 0.0298, acc: 99.06, err: 0.94
[test] loss: 0.0282, acc: 99.06, err: 0.94
[test] loss: 0.0298, acc: 99.04, err: 0.96
[test] loss: 0.0286, acc: 99.15, err: 0.85
[test] loss: 0.0297, acc: 99.06, err: 0.94
[test] loss: 0.0291, acc: 99.11, err: 0.89
[test] loss: 0.0284, acc: 99.14, err: 0.86
[test] loss: 0.0276, acc: 99.13, err: 0.87
[test] loss: 0.0265, acc: 99.22, err: 0.78
[test] loss: 0.0296, acc: 99.15, err: 0.85
